Role,Skills,Links
Agronomy Research Intern,Agronomy basics; Excel; GIS; Field survey methods; Report writing; Data Analysis (Python),Agronomy basics: https://www.coursera.org/learn/sustainable-agriculture ; Excel: https://www.linkedin.com/learning/excel-essential-training-office-365 ; GIS: https://alison.com/course/advanced-diploma-in-geographic-information-systems?utm_source=google&utm_medium=cpc&utm_campaign=Performance-Max_Tier-5_Tag-Caregiving&gad_source=1&gad_campaignid=22562790451&gbraid=0AAAAADt7cD1Qm-HYWmw_Zh_BCvnnFxFQ2&gclid=CjwKCAjwgeLHBhBuEiwAL5gNEWL9OgATpG-bcvYBHhxgwYJ2G2kc5LqVbjQp7QeBVDzuV4BJlEDmLBoC-CYQAvD_BwE; Field survey methods: https://www.coursera.org/learn/research-methods ; Report writing: https://www.mygreatlearning.com/academy/learn-for-free/courses/writing-powerful-business-reports ; Data Analysis (Python): https://www.coursera.org/specializations/python
Farm Operations Intern,Farm management; Machinery basics; Irrigation basics; HSE / Safety basics; Excel,Farm management: https://alison.com/course/farm-management-and-maintenance ; Machinery basics: https://onlinecourses.nptel.ac.in/noc19_ag01/preview ; Irrigation basics: https://www.udemy.com/topic/irrigation/?srsltid=AfmBOooyndd6wWEP5mxQ4dJ4jWnWPfhH3ohYX6jEN9MKPetaoKZ6zXYB ; HSE / Safety basics: https://www.coursera.org/courses?query=safety ; Excel: https://www.linkedin.com/learning/excel-essential-training-office-365
Agri-tech Data Intern,Python; SQL; Machine Learning for Agriculture; Data Visualization (Tableau); GIS,Python: https://www.coursera.org/specializations/python ; SQL: https://www.khanacademy.org/computing/computer-programming/sql ; Machine Learning for Agriculture: https://onlinecourses.nptel.ac.in/noc22_ag05/preview ; Data Visualization (Tableau): https://www.mygreatlearning.com/academy/learn-for-free/courses/data-visualization-using-tableau ; GIS: https://alison.com/course/advanced-diploma-in-geographic-information-systems?utm_source=google&utm_medium=cpc&utm_campaign=Performance-Max_Tier-5_Tag-Caregiving&gad_source=1&gad_campaignid=22562790451&gbraid=0AAAAADt7cD1Qm-HYWmw_Zh_BCvnnFxFQ2&gclid=CjwKCAjwgeLHBhBuEiwAL5gNEWL9OgATpG-bcvYBHhxgwYJ2G2kc5LqVbjQp7QeBVDzuV4BJlEDmLBoC-CYQAvD_BwE
Automotive Design Intern,SolidWorks / CAD; Mechanical drawing basics; Materials science basics; CAD:AutoCAD / Drafting; Technical communication,SolidWorks / CAD: https://www.udemy.com/topic/solidworks/ ; Mechanical drawing basics: https://onlinecourses.nptel.ac.in/noc22_me105/preview ; Materials science basics: https://www.coursera.org/courses?query=material%20science/ ; CAD/AutoCAD / Drafting: https://alison.com/course/autocad-beginner-to-professional-training ; Technical communication: https://www.coursera.org/specializations/technical-communication
Powertrain / Engine Intern,Internal combustion basics; Vehicle dynamics; Matlab/Simulink basics; Data logging (Excel),Internal combustion basics: https://alison.com/course/mechanical-engineering-internal-combustion-engine-basics ; Vehicle dynamics: https://www.classcentral.com/subject/vehicle-dynamics ; Matlab/Simulink basics: https://www.coursera.org/courses?query=matlab%20simulink ; Data logging (Excel): https://www.linkedin.com/learning/excel-essential-training-office-365
Embedded Systems Intern (Auto),Introduction to Automotive Embedded Systems; C/C++ basics; Python; Git & GitHub,Introduction to Automotive Embedded Systems: https://www.coursera.org/learn/introduction-to-automotive-embedded-systems ; C/C++ basics: https://www.coursera.org/specializations/coding-for-everyone ; Python: https://www.coursera.org/specializations/python ; Git & GitHub: https://www.mygreatlearning.com/academy/learn-for-free/courses/github-tutorial-for-beginners
Aerospace Engineering Intern,Aerospace fundamentals; CAD / SolidWorks; Mathematics for engineers; Systems engineering basics,Aerospace fundamentals: https://shorturl.at/xBrFh ; CAD / SolidWorks: https://shorturl.at/ZLdnD ; Mathematics for engineers:https://www.coursera.org/specializations/mathematics-engineers ; Systems engineering basics: https://shorturl.at/AWOmB
Maintenance & Ground Ops Intern,Aircraft maintenance basics; Safety / HSE basics; Checklists & SOPs; Technical reporting (PowerPoint/Excel),Aircraft maintenance basics: https://onlinecourses.nptel.ac.in/noc20_ae03/preview ; Safety / HSE basics: https://www.coursera.org/courses?query=safety ; Checklists & SOPs: https://shorturl.at/cFf1J ; Technical reporting (PowerPoint/Excel): https://www.linkedin.com/learning/excel-essential-training
Aviation Data Intern,Data Analysis (Python); SQL; Dashboarding (Power BI); Project Management,Data Analysis (Python): https://www.coursera.org/specializations/python ; SQL: https://www.khanacademy.org/computing/computer-programming/sql ; Dashboarding (Power BI): https://shorturl.at/LpRSf ; Project Management: https://www.coursera.org/professional-certificates/google-project-management
Investment Banking Intern,Financial accounting basics; Excel (financial modelling); Corporate finance fundamentals; PowerPoint / presentation skills,Financial accounting basics: https://www.coursera.org/learn/wharton-accounting ; Excel (financial modelling): https://www.linkedin.com/learning/excel-essential-training ; Corporate finance fundamentals: https://www.coursera.org/learn/corporate-finance-fundamentals ; PowerPoint / presentation skills: https://www.linkedin.com/learning/topics/powerpoint
Risk & Compliance Intern,Banking operations; Regulatory basics / KYC; Data Analysis (Excel/SQL); Report writing,Banking operations: https://listwr.com/9MxFZk ; Regulatory basics / KYC: https://listwr.com/X9cGdg ; Data Analysis (Excel/SQL): https://www.coursera.org/learn/sql-for-data-science ; Report writing: https://www.mygreatlearning.com/academy/learn-for-free/courses/writing-powerful-business-reports
Retail Banking / Ops Intern,Customer service basics; Teller operations; CRM basics; Excel,Customer service basics: https://www.coursera.org/courses?query=customer%20service ; Teller operations: https://www.aba.com/training-events/online-training/teller-basics-suite ; CRM basics: https://listwr.com/c6XuRo ; Excel: https://www.linkedin.com/learning/excel-essential-training
Quality Control Intern,Materials testing basics; Lab reporting; Lean manufacturing basics; Excel,Materials testing basics: https://onlinecourses.nptel.ac.in/noc22_me90/preview ; Lab reporting: https://www.coursera.org/courses?query=lab ; Lean manufacturing basics: https://www.coursera.org/courses?query=lean%20manufacturing ; Excel: https://www.linkedin.com/learning/excel-essential-training-office-365
Production / Plant Intern,Manufacturing processes basics; HSE / Safety basics; Process improvement (Lean Six Sigma); Maintenance basics,Manufacturing processes basics: https://alison.com/tag/manufacturing ; HSE / Safety basics: https://www.coursera.org/courses?query=safety ; Process improvement (Lean Six Sigma): https://onlinecourses.nptel.ac.in/noc20_mg19/preview ; Maintenance basics: https://www.udemy.com/course/maintenance-management-basics/?srsltid=AfmBOooOojw9TnAsC_291mBt1R96_j-GSsTz36qCP4Hd1WZgq5MV6iuI
Sales & Estimation Intern,Construction estimation basics; AutoCAD basics; MS Excel; Communication skills,Construction estimation basics: https://www.coursera.org/learn/construction-cost-estimating ; AutoCAD basics: https://alison.com/course/autocad-beginner-to-professional-training ; MS Excel: https://www.linkedin.com/learning/excel-essential-training-office-365 ; Communication skills: https://www.coursera.org/learn/wharton-communication-skills
